count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
948927,2014,8,"Yorkshire and The Humber",194,Barnsley,B6273,Minor,,,442839,409355,53.57904924,-1.35446111,,,Counted,"Manual count",35,55,4855,11,930,73,13,12,4,8,4,115,5965
948928,2014,8,"Yorkshire and The Humber",194,Barnsley,B6132,Minor,,,435898,412150,53.60468978,-1.45896697,,,Counted,"Manual count",21,38,2430,31,269,30,4,1,1,2,0,38,2806
948942,2014,8,"Yorkshire and The Humber",194,Barnsley,C,Minor,,,434930,404553,53.53647376,-1.47444201,,,Counted,"Manual count",21,20,2008,33,185,18,1,2,1,4,3,29,2275
948959,2014,8,"Yorkshire and The Humber",194,Barnsley,U,Minor,,,436986,401304,53.50713164,-1.44380482,,,Counted,"Manual count",5,10,232,0,108,16,4,0,1,0,0,21,371
948960,2014,8,"Yorkshire and The Humber",194,Barnsley,U,Minor,,,428980,405720,53.54732348,-1.56410557,,,Counted,"Manual count",7,10,616,0,75,2,0,0,0,0,0,2,704
7387,2015,8,"Yorkshire and The Humber",194,Barnsley,A633,Major,A628,A61,435000,408850,53.57509030,-1.47290634,3.40,2.11,Counted,"Manual count",57,75,6864,24,1060,208,25,16,7,26,15,298,8321
7378,2015,8,"Yorkshire and The Humber",194,Barnsley,A629,Major,A628,"LA Boundary",425000,404540,53.53692116,-1.62426395,4.60,2.86,Estimated,"Estimated using previous year's AADF on this link",10,61,5245,10,1318,146,54,57,15,58,75,406,7040
8745,2015,8,"Yorkshire and The Humber",194,Barnsley,A635,Major,"Church Lane",A61,434724,406962,53.55813937,-1.47728344,0.70,0.43,Counted,"Manual count",10,102,12636,36,1292,85,19,58,3,11,7,184,14250
7812,2015,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A6133,A635,434900,405800,53.54768374,-1.47475598,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",77,116,11416,321,1574,130,18,60,7,14,6,235,13662
58277,2021,8,"Yorkshire and The Humber",194,Barnsley,A616,Major,"LA boundary",A629,430000,398900,53.48596600,-1.54936280,1.70,1.06,Counted,"Automatic counter",7,97,13793,75,4953,595,91,128,203,512,547,2076,20993
26607,2015,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A629,"LA Boundary",433000,397440,53.47266604,-1.50430688,2.00,1.24,Estimated,"Estimated using previous year's AADF on this link",24,127,10786,24,1866,179,36,33,31,84,90,453,13255
948951,2014,8,"Yorkshire and The Humber",194,Barnsley,U,Minor,,,437090,411131,53.59544843,-1.44107473,,,Counted,"Manual count",17,16,2541,43,411,14,1,0,0,1,0,15,3026
7354,2015,8,"Yorkshire and The Humber",194,Barnsley,A616,Major,A628,"LA Boundary",420000,401251,53.50757188,-1.69991278,5.90,3.67,Counted,"Manual count",2,35,9015,32,2562,439,74,61,113,613,402,1701,13346
37436,2015,8,"Yorkshire and The Humber",194,Barnsley,A628,Major,"Oak Well Lane",A633,436000,406400,53.55300247,-1.45808659,2.80,1.74,Estimated,"Estimated using previous year's AADF on this link",47,84,12055,383,2093,147,28,26,5,8,9,222,14837
27860,2015,8,"Yorkshire and The Humber",194,Barnsley,A6133,Major,A61,A635,435200,405700,53.54676498,-1.47023977,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",24,54,6582,26,1158,106,43,59,7,17,26,258,8078
26606,2015,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A633,"B6428 Shaw Lane",433870,410000,53.58550034,-1.48984634,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",19,66,9435,60,2493,196,58,58,18,33,47,409,12463
18723,2015,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,"B6132 Carlton Rd",A633,434938,408690,53.57365635,-1.47386046,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",38,139,13434,416,2435,231,67,46,14,17,35,410,16835
28479,2015,8,"Yorkshire and The Humber",194,Barnsley,A633,Major,A6195,B6096,441000,402450,53.51713498,-1.38313702,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",62,84,12228,27,1990,157,48,65,10,33,28,342,14670
38061,2015,8,"Yorkshire and The Humber",194,Barnsley,A635,Major,A6133,A633,436000,405700,53.54671093,-1.45816692,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",30,139,16007,722,2399,201,39,22,17,29,17,325,19592
26006,2015,8,"Yorkshire and The Humber",194,Barnsley,M1,Major,36,37,433500,403770,53.52952897,-1.49610061,6.50,4.04,Counted,"Manual count",0,171,74215,216,16177,3517,422,324,366,1716,4024,10370,101148
28718,2015,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A616,M1,434000,399300,53.48932046,-1.48904132,1.70,1.06,Counted,"Manual count",31,118,18537,74,3451,310,56,62,69,213,147,857,23037
27841,2015,8,"Yorkshire and The Humber",194,Barnsley,A6135,Major,"Parkside Rd",B6096,435700,400000,53.49549986,-1.46334177,0.50,0.31,Counted,"Manual count",67,75,7506,91,1032,96,9,2,9,24,13,152,8857
56866,2015,8,"Yorkshire and The Humber",194,Barnsley,A635,Major,A61,A6133,435000,405970,53.54920506,-1.47322787,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",40,146,12662,486,1664,175,31,55,3,7,14,286,15243
48806,2015,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A635,"B6132 Carlton Rd",435062,407955,53.56704198,-1.47207022,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",40,123,13968,364,2713,240,47,32,13,23,29,384,17552
48820,2015,8,"Yorkshire and The Humber",194,Barnsley,A628,Major,"Racecommon Road roundabout",A61,434500,406047,53.54993011,-1.48076539,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",19,203,24684,97,3456,371,70,40,34,68,110,693,29133
38528,2015,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A635,A628,434800,406000,53.54948794,-1.47624294,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",33,244,22368,856,3441,281,46,43,14,16,17,417,27326
37448,2015,8,"Yorkshire and The Humber",194,Barnsley,A633,Major,A628,A635,437230,406000,53.54932180,-1.43956939,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",31,139,16400,87,3613,259,56,47,41,102,104,609,20848
